date,tweets
2021-01-01 23:59:00,"['New Forecast Predicts 80,000 Americans Could Die of COVID-19 in the Next 3 Weeks  https://t.co/s5zuLgl9Xk #Newsmax via @Newsmax what is the true number of deaths does our government want before it stops. Put this shit in prisons.give senirs a break', '@conorjrogers The only reason for a strategic approach, as far as I can tell, would be if demand vastly outstripped supply across the board. But there is no reason to let unused doses simply expire. Literally walk out into the street and scream “FREE COVID VACCINES” as far as I’m concerned.', 'Over 3,700 Cuban health workers have volunteered in 39 countries to help fight COVID-19 in 2020.  I think they deserve the Nobel Peace Prize for their selfless humanitarianism saving lives and promoting cooperation between nations. If you agree, sign here  https://t.co/rS7b6UKBvd', 'Best Business Practices For Corporate Tenants During The Pandemic #CRE #COVID-19 #TenantTips #CorporateTenants #CorporateRealEstate     https://t.co/CgGmi34a3T', '@AngelaRayner @GavinWilliamson Get and keep these superspreaders back to school. Teachers have been teaching keyworkers since March 2020. If schools kept pupils in same classes and did not mix them Covid would be controlled  better.', ""@kathryn_ksf @SeanMaths4EAL @Susan_forDan @MagdaSzubanski @GladysB Too true and we don't even know what the long term complication from Covid are"", 'Graphene-based electrochemical sensor can detect COVID-19 in less than five minutes  https://t.co/z7NTUbrazV', 'COVID-19: Commonwealth doctors call for adherence to infection control in\xa02021  https://t.co/R5qd7k4iRC', 'guys my educator is officially on maternity leave and i missed her last day cause of getting exposed to covid but she just said once i’m back she wants to come in for a haircut w me before she has the baby 🥺 she’s the best i love her 🥺', ""@NorthofSeven This looks divine. It's a tradition of ours to have ham and mash on new years day however after a phone call from my boss today we opted for pizza, wine and chocolate instead 😜🥴 #COVID-19 #teacherslife"", '#AWANIringkas 2 Januari 2021 | 8 AM  📌 EPL: Manchester United kumpul mata  📌 EPL: Everton 0 - 1 Wesh Ham United 📌 Lima pemain Man City positif COVID-19  #AWANIringkas #HapusCOVID19 #NormaBaharu #TahunBaharu2021  https://t.co/WEks0qdfpD', 'BREAKING: Saints RB Alvin Kamara tests positive for COVID-19  https://t.co/G4wpVrkDZX', ""'COVID, COVID, COVID': In Trump's Final Chapter, a Failure to Rise to the Moment  https://t.co/VezfrgmcrR via @YahooNews  Trump’s fantasies vs COVID: “Making masks a culture war issue was the dumbest thing imaginable’, one former senior adviser said.” It wouldn’t B the only one."", ""@helen07954551 Mind your own business &amp; go back into your own home. Don't be a COVID Snitch! Otherwise, you are no better than a Nazi sympathiser!"", ""Covid cases 'soar' by minus 83?  https://t.co/aKftaDZZIM via @wordpressdotcom"", '@nypost At least it’s not a COVID death toll.', 'my condolences to the nd fans who wasted hundreds of dollars on traveling to texas of all places to see this game where our asses get absolutely handled   and also contracted covid while doing so 🤡', 'How did we go from ""Let\'s #clapforcarers"" during the first wave of the pandemic to ""COVID is a hoax"" during the second and significantly worse wave? How did we go from making the nation proud to part of a (worldwide?) conspiracy? This makes me so sad. So disappointed.', 'RIP my uncle Shane 🥺 lost his fight with Covid 💔', '@GanleyClaire @johnmck21248211 @kaelabean @UsforThemUK @educationgovuk @10DowningStreet Clearly this has not impacted on your children like it has mine, forced into isolation 5 times, a boy coughed in the classroom and was escorted out by three teachers in full PPE, my son was terrified that it could be him next , my other son lost his favourite teacher to covid']"
2021-01-02 23:59:00,"['Dozens in West Virginia mistakenly get antibody Regeneron instead of COVID vaccine  https://t.co/nTZu056nlD via @JustTheNews', '@DWUhlfelderLaw The biggest herd immunity spreader of COVID-19 2021. Now these moron will go and infect others. Unless trump gave them the COVID vaccine for donations of 1,000 a whoop. Who knows what this corrupt don is up to.', '@CharlieEmma85 That’ll be one death ‘involving Covid’ since March. So glad my children’s future has been annihilated, definitely feels proportionate....', '@Simplydee13 Cuz of Covid 🤦🏾\u200d♂️🤦🏾\u200d♂️🤦🏾\u200d♂️', '@evaholland No one has claimed any of the approved Covid vaccines is 100% effective.', '@Ribamar96 @realDonaldTrump Hope u already got your ticket &amp; Covid-19 test certificate to Tasmania coz Joe is on the move to 1600', ""apparently we've had a pandemic every 100 years, 1720, the plague, 1820, cholera, 1920, the spanish flu, and now, 2020, covid-19"", 'Larry King Hospitalized in Los Angeles With COVID-19 (Report)  https://t.co/AQBswaae25', 'i hate to be that one that keeps talking about covid 19 but that shits so annoying', '@KDKA All the dopey Republicans who shunned COVID PRECATIONS. Deserved to die.', ""Um can Victoria please just stop getting covid cases please!! I have already paid for my new place and don't want to have to deal with border closures!! 😤😤😡😡"", 'Is it safe from Trump and Covid now? #2021goals  https://t.co/DueMJni4vr', '@babybrodybently @EdwardAshton30 @realDonaldTrump you don’t think americans are aware of his dismissive attitude towards the pandemic? the americans who have died from COVID-19 are real, and they have families and friends who have had to deal with their loss. now think again about why 6 million more americans voted for biden.', 'Mitch McConnell and Nancy Pelosi homes vandalised in Covid protests  https://t.co/5mkOsncGac', 'Larry King has been hospitalized in Los Angeles with COVID-19, according to multiple reports   https://t.co/ScIlt3qkMu', 'Police shut down raves defying COVID-19 curbs in France and Spain  https://t.co/pCHm0jc6Pm', ""@ari_russian it's COVID!🤣😂😅"", '@UchiGang hey my mom just told me the news just came out that mick foley has covid he had to be quarantined in his hotel room for 18 days and he couldn’t go home to be with his family on Christmas thought I would let you know', 'Larry King hospitalized with COVID-19  https://t.co/sqPCulANhJ', '@jfinn1971 They would you crisis actors . Covid 19-20 is fraud . All hospitals are empty . They do not allow relatives in']"
2021-01-03 23:59:00,"['I just posted my latest e-newsletter which includes updates about my 2020 efforts, COVID resources, info about upcoming events and a final fundraising appeal before the start of session.  Check it out here:   https://t.co/yAzpjmdLds #orpol #cripthevote #breakingcodesilence', '@PMOIndia Bcoz of Covid  crisis more people globally staying at home &amp; baking more so global sugar demand shoot up highest in 4years ignoring USDA advice  Futures File: Soybeans hit highs, land prices jump, sugar spikes | National |  https://t.co/0v9XblipBi  https://t.co/Dav8nk81ED', ""COVID has changed cities, and planners must adjust their strategies towards evidence-based urban transformation (something we've been advocating for years!) Excellent read from @kinokofry, @elizabethjt666 and Thami Croeser.   https://t.co/zOORosmBBL #urbanism #urbanplanning"", 'The Benefits of Suburban Office Locations #CRE #Office #TenantTips #COVID-19  https://t.co/Et6AZUrXUr', '@VickyBingham Cc @TulipSiddiq now students are catching Covid and travel to achool pls press the health secretary to vaccinate rather than test', ""Back to work tomorrow, let's hope nae one brough covid wae them"", ""@AmyEGardner ANOTHER lie by you toxic lying liars. LISTEN TO THE WHOLE TAPE. All you do is hump all day for your corporate overlords. Rich get richer and poor, poorer.   🚨🚨🚨 NANCY PELOSI BROUGHT A COVID POSITIVE MEMBER OF CONGRESS IN TO VOTE FOR HER TO BE SPEAKER. WHERE'S THAT NEWS? 😷😷😷"", '@WarcraftMeme @JarodNWBZPWNR Noooo fuck fuck fucking covid', ""This is crazy.  We could hit 500,000 dead   U.S. air travel hits pandemic high over New Year's holiday amid surging Covid outbreak @CNBC  https://t.co/i7Vv9QrO0G"", '@GerulaEddie @fakeGAINER @7BOOMERESIASON Nastiness abounds tonight. We need to get out of this Covid era get healthy and have a group hug.🤗', 'What the?! @realDonaldTrump is on tape attempting to commit election fraud and the @GOP is standing behind him like a bunch of corrupt a-holes. Meanwhile, more Americans have died of Covid-19 than any other country and more than all past wars combined! #TrumpTapes #LockHimUp', '@lorne_lanning HNY! Has COVID affected the release date of Soulstorm?', ' https://t.co/EEwgLPdhOu  Please vote &amp; share your thoughts on the COVID Vaccination plans. Thank you &amp; happy new year.', 'boris has the audacity to say schools are safe when people got covid straight away when we started  https://t.co/lAR7R84SzZ', '@MeghanMcCain In Australia the rules are strict. We close down complete suburbs and States. They are serious about stopping the spread and we have been fairly successful. COVID is real and we care about each and every person. Every death hurts. So rules, we stick to them.', 'Need a vacation from this whole COVID thing, ASAP 👏🏻', '22 guests have demanded their money back saying :""We\'d rather have Covid in the hotel than that lot', 'Bro slide with a COVID mask', ""@timschuller1 @peterdaou The Dems are taking us down a Neoliberal road that will lead to a wipeout in '22 and a real Fascist in '24.  Meanwhile, climate catastrophe is accelerating faster than COVID.  Better to get off the road than continue on off the cliff.""]"
2021-01-04 23:59:00,"['Could Coronavirus Trigger Force Majeure Contract Breaks? #CRE #COVID-19 #TenantTips     https://t.co/Zee2Ri7SNe', 'Stay. Home. Stay. Home. Stay. Home. I guaran-damn-tee the next 4 weeks are going to be the darkest this damn country has seen during Covid.', '@BBCFRCH @PattyHajdu Can you guide me to the description ""Covid-19""?   Thanks.', '@realDonaldTrump Oh. Your covid rally. How irresponsible of you.', '@Devin_Heroux Prince Albert Saskatchewan. You gotta visit one of these days once covid settles down.', 'Kevin Durant will miss the next 4 games due to Covid protocol (via @theseurbantimes) #NBA  https://t.co/bGuhnE43Sm', ""@GLOWPUNK But masks work much more effectively when the person with Covid is wearing the mask. Masks aren't 100% effective if only one party is wearing them."", 'CUOMO: 2021 will focus on controlling and defeating COVID, with the vaccine as the biggest weapon –\xa0WSYR  https://t.co/JVNTRGeDSo', '@kylenabecker @BrianTh37895972 I thought New York was the gold standard on how to handle covid? How could this have ever happened? 🤣🤣', '@ReXNiNJa @tonyposnanski @laurenboebert And Trump? He couldn’t not incriminate himself throughout the entire tape. Also, Biden has never been under criminal investigations and didn’t catch COVID. Clearly, he’s a moron.', 'First Case Of UK COVID-19 Variant Found In New York State - Gothamist  https://t.co/xhnsqCCIxi', ""@Mikenike13590 @zack_hample @austinjlevine I dont think you understand what the CDC data says  Covid with obesity still a covid death. Same as Covid w alzheimers, Covid w respiratory failure, Covid w organ failure, w hypertension &amp; covid w pneumonia  What if we didn't count heart attacks w Obesity. Would that make sense?"", '@ariellenicole16 That’s what happened to me when I had covid sis. Had a headache, itchy throat, and then my taste and smell was completely gone.', '@farid__jalali I have a very high titer of anti-s100b antibodies (highly suggestive of BBB breakdown) 10 months after acute covid-19 &amp; subsequent encephalopathy. Recently regained ability to ambulate normally w/o assistance. 36yo athlete and healthcare provider, still disabled by #LongCovid.', 'Lost Mother to suicide and Father to Covid-19  https://t.co/vZ282WKqNI', '@BotanyDad I’m trying to get like capstar or something similar, but I had a Covid exposure so now I have to quarantine which makes this situation so much poopier !!', '@jahimes @ChrisMurphyCT @SenBlumenthal how is CT defining critical workforce for one of the next phases of receiving the covid vaccine?', '@Coronavirusgoo1 Assuming of course that all these deaths are of covid not with covid. If the latter the figures will not show that reduction and they’ll have to find another reason to prolong the lockdowns', '@DrJasonJohnson If they don’t kill you one way, they will find another way to kill you. Ask COVID-19.', 'some covid 19 testing lines give me major disneyland line vibes and it cracks me up']"
2021-01-05 23:59:00,"[""@realDonaldTrump Maybe you would have won those 120,000 votes if you hadn't killed them off with your disregard for covid."", ""Experts have said holiday travel and gatherings could help fuel another surge of Covid-19 infections. Yet millions of Americans traveled anyway.  So, self-centered morons. Don't whine about getting sick. You asked for it. How do you feel knowing your neighbor died because of you?"", ""The number of shoes I've purchased during COVID &gt; the number of days I've left my house during COVID 🥴"", '@grayfoxSOF @Amy_Siskind My dad lost my grandpa when he was in High School. He was so proud of the fact he made it to 80. I was so happy I was able to go home and throw him a huge party for his 80th (last March) before we all shut down for this pandemic. He was happy and doing great before COVID', 'Just got my first covid test and it wasn’t that bad but boy did it make me dramatic', '@smlomax With those odds is it really worth it? Out of 30 customers at least one could have COVID.  #protectlibraryworkers #closethelibraries', 'Covid vaccinations: slow start around world brings dose of reality  https://t.co/FWtZWZ4n2L', '@Super_NinDando Just read that too!! Sounds like he did the right thing and the Mcg had a bubble covid ticketing plan in place 🤞', 'Rate Of Adverse Reactions To COVID Vaccines Already 50x Higher Than Flu Shot With reports this morning of another otherwise-healthy patient dying suddenly after receiving her first dose of a COVID-19 vaccine,  https://t.co/u8CURRTCQ1', ""@gary_feltham I can't say for sure but it feels like every time there is a lockdown of all the average citizens there is a surge in Covid-19 cases.  Maybe we try something a little different lockdown all politicians and free the people."", 'Breaking! Portuguese Nurse Dies Suddenly After Receiving COVID Vaccine  https://t.co/ESzoWFsMgl via @YouTube we won’t', 'This Covid is not a joke man.', ""Day 1 back at work yesterday. Some good news work wise initially, then a top black ice encounter, broken wrist 'comedy' home alone style fall outside work entrance, 6 hours in Covid A&amp;E protocol and broken wrist.  Nimble is a young mans game. My wish is the CCTV never leaks"", ""@GregHuntMP First you say Australia does not compare COVID responses with other countries. Then you say this 'He said comparable countries with strong records on dealing with the virus - such as New Zealand, South Korea, Japan and Taiwan - are all on similar time frames for the rollout. Lies"", ""I listened to Johnson's television Covid update earlier.  I don't know but .... he didn't answer a single question posed anywhere near understandably.  He ummed and ummed and bumbled out a stream of gibberish.  How the hell he is leader of the UK is beyond comprehension."", ""@JoeBiden You're full of it. Covid has proven you wrong."", '@erjmanlasvegas Just before induction, he will be placed on the Covid-19 list and deemed ineligible.', ""Sure they'll risk getting Covid-19, but are conservatives so desperate to own the libs that they'll eat Pizza Inn pizza?"", ""@numbers_truth @jimisaknowitall @cguthrie00 Because the excess deaths couldn't be due to lockdowns right it has to be covid only."", '@nytimes A ""major threat"" is quite a stretch. People, even reporters, have no idea what\'s up post-COVID. None.']"
2021-01-06 23:59:00,"[""@Nintendoubt815 It's gonna get called off. Shrews have lots of confirmed covid cases."", 'Canada is now requiring all international travellers over the age of five to present a negative COVID-19 test taken within 72 hours of scheduled departure.   Read more about these changes to entry requirements and what it means for #InternationalStudents:   https://t.co/7TVcXha2ra', '@TheTorontoSun @JaneCStevenson And there worried about covid.  FFS', '@PhilipPentland @JuliaHB1 @devisridhar Read the small print and think again. Covid isnt the only thing killing people, bur its what they get on their death certificate. Its disgusting  https://t.co/3tGcLCTt0J', '@realDonaldTrump @realDonaldTrump You should be ashamed.  You are a disgrace to the United States of America, democracy, the Constitution, and all that is right and decent. You carry responsibility for the death of the woman shot today, and countless COVID victims.', '@senatemajldr Kentucky receives $2.15 in federal money for every dollar of taxes paid. Before the COVID-19 pandemic, 35% of the state’s total revenues came from the federal government,. Kentucky is one of the most federally dependent states in the nation', ""We are now offering the COVID-19 saliva-based PCR test for the detection of the SARS-CoV-2 virus! It's non-invasive. It's quick and safe. It's accurate. Schedule your appointment at ARCpoint Labs today:   https://t.co/4y6LomiJx8  https://t.co/c7IFxLlUfC"", 'When we said we wanted something other than COVID-19 on the news, THIS IS NOT WHAT WE HAD IN MIND!', '@JackieNation Maybe. But look on the bright side, we didn’t worry about dying from COVID for part of the day.', '@AllMattNYT @ECMcLaughlin if that quarter has traces of covid can we add attempted assasination to his charges?', 'Hey @sydneemcelroy @JustinMcElroy guess who has two thumbs and is scheduled to get the Covid vaccine tomorrow at 4?!?  ✨this bitch✨  @Sawbones definitely got me through the year. And YAY FOR VACCINES', ""@MichaelJStern1 @JoeBiden a death that can be attributed to @realDonaldTrump that has nothing to do with #covid. i'm sure he'll be the first to send condolences... if he had any empathy which is clear that he doesn't."", 'Soooooooo….any guesses on how many got covid during the capitol lock down? I gonna hazard a guess: a lot.', '@SethAbramson How about the woman at Charlottesville? Or the thousands who died because Trump sat on Covid. No sympathy from me', ""If anyone believes that just ANYONE can just walk into a Federal building like that, especially during covid, you are outta your mind. This was planned; by who idk, they're all the same to me lol. This was authorized 100%."", 'Where were any of these tweets all summer?  Telling us there was nothing to see, no covid can spread there, its just peaceful protesters and thats essential and should be supported.  Eat an eggplant', '@o7_bob @CMOH_Alberta My friend died yesterday of covid.', 'What has led to drop in Covid-19 cases in India – Times of India | In\xa0Hindi.  https://t.co/iiQPXbczok', 'Got my Covid vaccine and idk how to feel about it 🤔', 'Joe Jing Corral was the first Alberta healthcare worker to die of COVID-19 a gofundme has been set up to help his family. Please donate if you can  https://t.co/VZ5wDwNFZO #yegcc #AbLeg #COVID19AB']"
2021-01-07 23:59:00,"['@nadhimzahawi @BorisJohnson How long before the stats for side effects, people still catching Covid, people still passing Covid on, vaccinated folk still dying, are given out? If they ever are, mustn’t burst the bubble what ...', 'While people struggling with Covid-19 &amp; flood , politicians keep bragging about doing the fucking PRU . This is what you guys declared as leaders in a country ? Shame on you people', 'Last month, a new variant of COVID-19 was found in the U.K. Since then, it has spread to 30+ countries. While B.1.1.7 has been the focus of recent COVID-19 media reports, a different variant arose in South Africa in the first weeks of December 2020.  https://t.co/ga1mepbDgL', ""@felixfelisas @ZacBissonnette If you share that chart, you're a covid denier and a 🐍🛢 salesman. True story."", '@therecount I remember Covid.  I was thinking about the super spreader yesterday was &amp; worrying about them contaminating the building.  My greatest concern was the extra load on health workers or bed occupation. They don’t deserve to go to hospital. That’s who I am now.', '@Marvelousminxx @bortore i literally gained atleast 20 pounds since moving here LOL I blame covid and the dank vegan eats', ""@MichaelWhiting As a fellow Covid bride, I worry about this. It's all so stressful. I hope their day is wonderful, whether its tomorrow or another day down the track."", 'I haven’t been to The Collection once since COVID hit and thats been the real vaccine.', '@POTUS  @vp  After a year of riots, racist Lester Holt on racist NBC news, castigates protesters protesting while America is vulnerable from Covid. What were the Dems doing all year!  You have to start taking out people who are chronically insane and wearing black colored glasses', 'Third Covid vaccine set for UK approval next week but arrival delayed by Brexit  https://t.co/NV4f2FeCtF', 'my granny gets her first covid vaccination tomorrow and I’m so happy🤩', ""@Herronisland Hi Merry, my cabin is on West Yew. I've owned since 2017 but live in Australia so don't get there as much as I'd like, even less now thanks to covid."", 'Is my chest pain from anxiety or covid or an allergy who knows', '@AndrewCMcCarthy Wth is wrong with all@of you people?   The left was mad because Trump was focused on the election instead of COVID and NOW with 2 weeks to go, the left wants to envoke the 25th amendment. You won, work on what really matters, or is was that just a political ploy?', '@JamesHu94283365 @HillBily69 Dude, it is obvious, they all died of Covid. Get with the program!', 'Hearing @sportchippers on the radio takes me immediately back to pre covid days. What we took for granted...', 'After a month of being positive with COVID I finally tested negative today 😭😭😭😭 I’m so happy! Still not taking that vaccine though', '@BeatriceLacy @richo2015_tom @1madwoman1962 @marvil296 @rosiegreysworld @Flow_bl @karlfischer_biz @SherylPrattERA @LisaTruthJohns @carolyn660 @DrKristieLeong @1961Et @Wewillrocku66 @JURIDICOS66 @dilruba_lees @TheEddie24ful @cjnapoet Covid is trying to beat us Beatrice …we will not let it happen …our vaccinating programme is ramping up …no one is ill from it …over 1 million so far and gaining fast …so I will be on my way to give you a huge hug ASAP ( from my sister 😍) LOL  https://t.co/wJDP4YRvhk', '@donwinslow @SenTedCruz @HawleyMO 350000 dead from Covid, do you really think they care about five.', 'Need prayers for my dad who tested positive for Covid today! #fuckyoucovid']"
2021-01-08 23:59:00,"['@katy3710 No one should be afraid of COVID except people that would be afraid of the flu.  COVID is the flu supercharged with the abilities of a cold to transmit to others.  COVID deaths are no different to a bad flu season.  Risk factor of death is less than 0.01%', 'Singapore Police Access COVID Tracing App Data For Criminal Investigations  https://t.co/WUJFAbSt9d', 'Philly residents now can pre-register to receive a COVID-19 vaccine  https://t.co/wMQhEEXxuF', '@NYGovCuomo Hmmm good one Cuomo... said the guy who put Covid patients back in the nursing home knowing they were positive and those ppl lost their lives.. rethink that one captain genius!', '@Bobbycressey Thanks Bobby! I don’t know if you have translated my tweet but I have been hit by COVID and isolating myself for 22days to be exact. So happy to be out of it!', '@RepBoebert Oh come on LB! None of your followers believe in Covid! Remember... it is a hoax!', '@AmyGDalaMD I love donuts.  Any shared food is a problem in covid times, though!  :(', 'Colleagues throughout the HealthONE system are lining up to receive their COVID-19 vaccinations. These frontline #HealthcareHeroes are doing their part to #EndThePandemic and create #HealthierTomorrows!  https://t.co/ByWJNcDj7C', 'The neighbor lady that has Covid pneumonia went back to the Dr. today for a chest X-ray.  She still has It.  They prescribed her another antibiotic.  Dad’s worried.  🥺', '@Tesla @elonmusk Any chance a front line working can get a little help in affording a @Tesla. It’s a dream car, just been hard due to covid hitting us hard at work! It would be a such a blessing!', ""@GaryWKinsman to be clear: I'm chronically ill. I've had to miss out on dating and participating in cultural events for years now. The idea that people can't put it on hold for a few months so that we can control the spread of COVID is honestly insulting"", 'I just want important news... fire 🔥, weather ☁️, covid-19! Let this $+#+ go!', 'COVID-19 surge, lack of teachers forces Cherokee schools to close classrooms  (Via AJC)  https://t.co/wArLPkWvlX', ""@maddow Trump doesn't care if he's reviled,  impeached, removed from office, accused of extortion, rape and treason,  gets covid, or looks like an idiot. Twitter suspension is what will get under his skin."", ""Please stay home Our #Simcoe Paramedics are not vaccinated and at severe risk Increases will cripple local medical services &amp; cause more deaths -  Simcoe Muskoka records 78 new COVID-19 cases as Ford warns of potential 'extreme measures'  @Opseulocal303 -  https://t.co/F1vmdMSlv4"", 'USA up in arms with 5 deaths at the Capital and the attempt take over. FBI investigations everywhere, 500 FBI agents involved.    However   Covid 365, 208   Deaths..........nothing..', 'The thing about this is that while we all felt true joy when we thought the President would be taken by COVID, at this moment I bet the President is wishing he was taken by COVID', '@AskFalan2 @Dwarven_King_SH Following 😊. TY for the #writerslift. My debut #book is available now, raising money for the #COVID19 Solidarity Response Fund. A sci-fi dystopian #covidstory based on the #COVID pandemic:  https://t.co/o6E9PFOUHh TC  #writingcommunity #covidfiction #unprecedentedtimes #charity', '@n4vin I agree that the root cause is rampas kuasa by PN but you can still avoid that if you really thought about rakyat during covid times. Which is why i said, which one is a better choice at the end of the day', '@24panels Me too; and in other mountain-sized men news, did you know that Tiny Lister died of Covid?  I am roughly the same size as them, so now I am a little frightened.']"
2021-01-09 23:59:00,"['A COVID patient dies every 5 min. in LA county, California.(CBS EVENING NEWS)', ""@dabTTS @fawltyowls @JamesfWells @pritipatel @Conservatives That's the first place to start fining people, using this logic, if you have caught covid, you can't have been following the rules 🤔"", 'COVID-19: Changing the Landlord-Tenant Relationship #CRE #COVID-19 #Office #Warehouse #TenantTips  https://t.co/QwEWuLZ3Gn', 'source of Covid? Are they quarantined?', 'COVID-19: PFA Warns Players Over Goal Celebrations READ MORE  https://t.co/4nf9ivEEgK', '@paulogti78 Puto Covid.', 'Healthy doctor dies after Covid-19 vaccine    https://t.co/DO32pAzdL2', '@OttawaCitizen He probably just wanted to get his COVID vaccination', '@Niall_Boylan If this poll was done by the majority of covid bed wetters the not my business would be 1%.', '@DanRather No Covid yet?', '10yrs #ToryMismanagement &amp;  #ToryBrexitCoup 2enable Tories&amp;backers 2plunderUK; 37%ofelect voting4 unspec.LEAVEin corruptedREF =UNDEMO;HOPE=oppostn parties co-opNOWin #XpartyProgressiveAlliance 2manage:COVID+ #UKpoliticalREFORM &amp;intro #PR4UK 2#MakeALLvotesCount #FPTPisUndemocratic', '@HATEaGATE @PewterReport Nope. Still on the Covid list I believe', ""@BorisJohnson Be honest, you don't have a clue how to stop covid do you? Thing is no one else does either, we are all DOOMED."", ""@ballnshane @CBCNews yes, but if the facility is already innundated with covid, it is almost impossible to isolate people who haven't been infected..unfortunately."", 'Are we still doing COVID?  https://t.co/iLMn3clBsV', ""Read this thread and tell me why Dan Andrews is allowing this torture in his state. Idgaf about respecting his covid response, that's a separate issue. I respect that too. But call him out on this.  This is wrong and he needs to step the fuck up now! @DanielAndrewsMP  @AlboMP"", '@apoorva_nyc @K_Crick Truly, however, based on current (and recent past) events, our country can’t get it together and behave adequately to smolder the virus.  Request 21st century technology to aid in the fight.  Home, paper, rapid, frequent ... #COVID contagion screening (CCS). @RapidTests', ""@GhostOfJustin1 Maybe it's to keep you from covid patients."", '#england lady goes in hospital and its basically empty she streams it gets arrested. Numbers are not right. We had same amount of deaths last 3 years if covid was killing everyone the numbers eouod have been up 350k here but they werent', 'The #Covid pandemic contributed to my personal burnout and collapse over the summer. My (female) manager at the time responded by criticizing my productivity and terminating my assignment. I’ve been on leave since August without pay. #GBAplus   https://t.co/PHutuONH1n']"
2021-01-10 23:59:00,"['@meme_maga I’ve just seen the tests results   231 negative results of COVID-19 and only  8 detected covid and they are  not symptomatic. What else do they have to lie about', 'Covid-19 coronavirus: Health Ministry reveals new case numbers, update on UK strain, via @nzherald  https://t.co/MsyONRAoou', '3 Training Opportunities to invest your time during COVID    #ITConsulting #ITStrategy #ITProcess #ITServices #Revenue #Risks #leader  https://t.co/mxOC3Rdg9s', 'NSW Premier Gladys Berejiklian is providing a COVID-19 update after a person infected with coronavirus shut down the emergency department at a western Sydney hospital.  https://t.co/lECeVqU2Bt', '@televisionary The original series was my Covid comfort watching - excited to have more to watch!', '@adeleke5140 So we should all stay at home till when covid goes totally or what should we students do???', '@Vaelyx_ @bigfoots0169 Covid', '@TomiLahren If the masses knew the truth? You mean like Donald fuckface not telling the American people the truth about covid? Stay in your lane tomi and keep popping that pussy!', '@brakey7 @lindsaycaplan6 @Johanne31785773 @Iromg How long have you realised elderly people die that have underlying issue? Probably only post-covid. 🙄', ""@JanetMNast @AuthorBryan @lisakeb007 ...live nowhere in a shit town surrounded by desert with few if any educated people. The only reason Covid hasn't killed you is because only Johns go there for the hookers. So stop your propaganda for the right. You know nothing."", 'If covid permits  Looking forward to ""Skating trails through the forest"" this winter  #Ottawa #MyOttawa #OttawaTourism   https://t.co/kJscfySDub', '@stewart_ted @GovLarryHogan Because Inmates Will Be Among First to Receive COVID-19 Vaccination in Maryland', '@SpamYosemite @8NewsNow Nope but again, you “may have” been affected if you’re in a crowded room with others who have Covid. Common sense', '@Sundae_Gurl @whatisaidis @RexChapman @SciRocker @senrobportman States were good enough to handle COVID on their own. The hypocrisy astounds me', 'don’t know if people noticed it, but niggas had to give me 6ft before Covid hit.... - Killa', '@Simplybec81 @Saints You should get a Covid test, sounds like you are suffering from a lack of taste.', 'I’ve had two deaths occur in the last three weeks and it just doesn’t seem real. we constantly see the COVID deaths reported on the news, and we’re almost numb to the number. but each number had a family, had a life, had dreams and aspirations. we can’t forget that.', '164/ In April 2020, Hancock and his Chinese counterpart, Ma Xioawei, spoke over the phone to discuss future collaboration during the COVID crisis.  ""Hancock…said that the UK is willing to enhance exchanges and collaboration with China …""  https://t.co/37ECQ5WH2M', '@bigfoots0169 I didnt know if the inactive was separate from covid list. Damn.', 'I got the fuckin COVID 😕']"
